ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
3095,0.5802,NA,NA,46300,0.5945,2824,1.087,1709,1.429,72140,1.307,64.37,0.8619
3280,0.645,NA,NA,24530,0.7564,2733,1.174,1922,1.46,49850,1.237,48.3,0.9759
4305,0.5545,NA,NA,30330,0.6398,2719,1.207,2054,1.408,70830,1.478,53.18,0.9225
3709,0.6418,NA,NA,17050,0.8662,2709,1.401,1808,1.384,5133000,0.539,38.15,0.8654
2411,0.6744,NA,NA,63110,0.5767,2999,1.075,1983,1.621,5133000,0.539,59.1,0.9729
3046,0.7419,NA,NA,32930,0.7014,3896,1.083,1757,1.14,10980000,0.5467,47.92,0.9827
3458,0.579,NA,NA,14450,0.9596,2567,1.079,1740,1.279,144600000,6.806,53.87,0.9748
2009,0.8656,NA,NA,67800,0.5,3575,0.8208,1781,1.603,4.709e+09,0.6506,41.86,1.038
2500,0.6387,NA,NA,17540,0.8616,2889,0.7975,1729,1.508,650700,9.873,45.32,0.978
2383,0.877,NA,NA,13870,0.9429,2520,0.9885,2008,1.534,19870,1.99,45.01,1.018
2563,0.403,NA,NA,15710,0.9321,3444,1.009,1783,1.292,34210,1.823,46.15,1.068
6328,0.4096,NA,NA,37270,0.7562,2705,1.191,1673,1.858,34210,1.823,66.2,1.057
2177,0.6815,NA,NA,49010,0.5354,2785,1.262,1997,1.304,16510,2,68.81,0.9566
2340,0.7626,NA,NA,35150,0.5486,2419,1.174,1670,1.388,4605,9.71,59.49,0.8956
2797,0.6204,NA,NA,30810,0.6964,2952,1.055,1692,1.218,4283,9.324,50.09,1.011
3169,0.7793,NA,NA,96000,0.5073,3544,0.9309,1850,1.41,4698,9.221,54.22,0.8063
2996,0.554,NA,NA,70210,0.5364,3329,1.22,2029,1.313,4976,9.589,51.64,0.8185
4295,0.5835,NA,NA,91980,0.4982,3229,1.25,1669,1.251,4976,9.589,48.14,0.9577
2927,0.7088,NA,NA,11740,1.086,2890,1.588,2073,1.238,138700000,0.4773,48.18,1.308
2487,0.7698,NA,NA,27180,0.7729,3468,1.031,1643,1.454,7162000,0.8068,48.59,0.8767
2685,0.7045,NA,NA,63560,0.5339,4783,0.66,1663,1.511,39980,1.439,43.58,0.9121
2278,0.8134,NA,NA,65650,0.5599,3720,0.9379,1795,1.241,39980,1.439,54.11,0.857
1850,0.7029,NA,NA,23740,0.7202,2774,0.8117,1789,1.373,194300,0.9283,53.22,0.7946
3793,0.4958,NA,NA,32670,0.6583,2816,1.16,1866,1.259,7800000,0.4938,60.71,0.8356
3876,0.5974,NA,NA,22360,0.7996,3063,1.016,1665,1.21,137800,1.104,57.43,1.061
3173,0.7338,NA,NA,23790,0.7781,4082,1.009,1832,1.078,36540,1.432,57.95,0.9691
2426,0.6369,NA,NA,57430,0.5775,3449,1.106,2001,1.188,8746,3.175,52.85,1.03
2651,0.62,NA,NA,81960,0.5669,2933,1.358,1943,1.641,25070,1.775,53.3,0.9785
4829,0.4488,NA,NA,26720,0.7817,3020,1.385,1955,1.494,13430,2.55,48.74,0.8302
2749,0.8694,NA,NA,21250,0.8885,3735,0.9956,1910,1.232,18140,2.027,53.09,1.063
2139,0.6773,NA,NA,22730,0.7699,2737,1.501,1743,1.69,18140,2.027,48.4,0.9277
4485,0.4455,NA,NA,11540,0.9722,3455,1.095,1872,1.366,11870,3.154,44.78,0.8354
2187,0.7712,NA,NA,29080,0.7641,4462,0.7849,1824,1.448,20810,2.033,53.27,0.9084
2050,0.7296,NA,NA,201400,0.3996,2563,1.196,1964,1.673,8901,3.675,57.6,0.9354
3116,0.5958,NA,NA,35280,0.7027,3025,1.156,1809,1.24,8901,3.675,52.5,0.8868
2457,0.5773,NA,NA,28210,0.7007,3820,0.9058,1822,1.468,13050,3.673,41.95,0.9319
3362,0.6872,NA,NA,26660,0.7026,3474,1.085,1499,1.485,20560,1.878,55.71,0.816
2250,0.603,NA,NA,48490,0.6174,3381,0.9356,1807,1.403,80820,1.779,57.17,0.8934
3841,0.5896,NA,NA,59300,0.5765,2869,1.049,1759,1.253,1.455e+09,4.593,49.19,0.9827
4696,0.5219,NA,NA,23780,0.7716,3242,1.19,1646,1.261,3572000,7.65,47.39,0.8257
2067,0.6656,NA,NA,20080,0.8523,3511,0.9538,1953,1.138,44280000,1.098,50.92,1.017
5007,0.8381,NA,NA,39870,0.6611,3201,1.006,1701,1.808,3.677e+09,5.02,46.29,0.9139
2187,0.6937,NA,NA,24600,0.6602,3003,0.8854,1923,1.403,1022000,4.901,50.96,0.8621
2335,0.7112,NA,NA,33450,0.6161,2764,1.499,1859,1.218,1652000,6.487,48.75,0.8971
2163,0.707,NA,NA,12070,1.156,2815,1.416,1819,1.378,992200000,1.801,49.35,1.17
